id,name,INSERT INTO `states` (name) VALUES (',abbreviation,country,type,sort,status,occupied,notes,fips_state,assoc_press,standard_federal_region,census_region,census_region_name,census_division,census_division_name,circuit_court
1,Alabama,INSERT INTO `states` (name) VALUES ('AL');,AL,USA,state,10,current,occupied,,1,Ala.,IV,3,South,6,East South Central,11
2,Alaska,INSERT INTO `states` (name) VALUES ('AK');,AK,USA,state,10,current,occupied,,2,Alaska,X,4,West,9,Pacific,9
3,Arizona,INSERT INTO `states` (name) VALUES ('AZ');,AZ,USA,state,10,current,occupied,,4,Ariz.,IX,4,West,8,Mountain,9
4,Arkansas,INSERT INTO `states` (name) VALUES ('AR');,AR,USA,state,10,current,occupied,,5,Ark.,VI,3,South,7,West South Central,8
5,California,INSERT INTO `states` (name) VALUES ('CA');,CA,USA,state,10,current,occupied,,6,Calif.,IX,4,West,9,Pacific,9
6,Colorado,INSERT INTO `states` (name) VALUES ('CO');,CO,USA,state,10,current,occupied,,8,Colo.,VIII,4,West,8,Mountain,10
7,Connecticut,INSERT INTO `states` (name) VALUES ('CT');,CT,USA,state,10,current,occupied,,9,Conn.,I,1,Northeast,1,New England,2
8,Delaware,INSERT INTO `states` (name) VALUES ('DE');,DE,USA,state,10,current,occupied,,10,Del.,III,3,South,5,South Atlantic,3
9,Florida,INSERT INTO `states` (name) VALUES ('FL');,FL,USA,state,10,current,occupied,,12,Fla.,IV,3,South,5,South Atlantic,11
10,Georgia,INSERT INTO `states` (name) VALUES ('GA');,GA,USA,state,10,current,occupied,,13,Ga.,IV,3,South,5,South Atlantic,11
11,Hawaii,INSERT INTO `states` (name) VALUES ('HI');,HI,USA,state,10,current,occupied,,15,Hawaii,IX,4,West,9,Pacific,9
12,Idaho,INSERT INTO `states` (name) VALUES ('ID');,ID,USA,state,10,current,occupied,,16,Idaho,X,4,West,8,Mountain,9
13,Illinois,INSERT INTO `states` (name) VALUES ('IL');,IL,USA,state,10,current,occupied,,17,Ill.,V,2,Midwest,3,East North Central,7
14,Indiana,INSERT INTO `states` (name) VALUES ('IN');,IN,USA,state,10,current,occupied,,18,Ind.,V,2,Midwest,3,East North Central,7
15,Iowa,INSERT INTO `states` (name) VALUES ('IA');,IA,USA,state,10,current,occupied,,19,Iowa,VII,2,Midwest,4,West North Central,8
16,Kansas,INSERT INTO `states` (name) VALUES ('KS');,KS,USA,state,10,current,occupied,,20,Kan.,VII,2,Midwest,4,West North Central,10
17,Kentucky,INSERT INTO `states` (name) VALUES ('KY');,KY,USA,state,10,current,occupied,,21,Ky.,IV,3,South,6,East South Central,6
18,Louisiana,INSERT INTO `states` (name) VALUES ('LA');,LA,USA,state,10,current,occupied,,22,La.,VI,3,South,7,West South Central,5
19,Maine,INSERT INTO `states` (name) VALUES ('ME');,ME,USA,state,10,current,occupied,,23,Maine,I,1,Northeast,1,New England,1
20,Maryland,INSERT INTO `states` (name) VALUES ('MD');,MD,USA,state,10,current,occupied,,24,Md.,III,3,South,5,South Atlantic,4
21,Massachusetts,INSERT INTO `states` (name) VALUES ('MA');,MA,USA,state,10,current,occupied,,25,Mass.,I,1,Northeast,1,New England,1
22,Michigan,INSERT INTO `states` (name) VALUES ('MI');,MI,USA,state,10,current,occupied,,26,Mich.,V,2,Midwest,3,East North Central,6
23,Minnesota,INSERT INTO `states` (name) VALUES ('MN');,MN,USA,state,10,current,occupied,,27,Minn.,V,2,Midwest,4,West North Central,8
24,Mississippi,INSERT INTO `states` (name) VALUES ('MS');,MS,USA,state,10,current,occupied,,28,Miss.,IV,3,South,6,East South Central,5
25,Missouri,INSERT INTO `states` (name) VALUES ('MO');,MO,USA,state,10,current,occupied,,29,Mo.,VII,2,Midwest,4,West North Central,8
26,Montana,INSERT INTO `states` (name) VALUES ('MT');,MT,USA,state,10,current,occupied,,30,Mont.,VIII,4,West,8,Mountain,9
27,Nebraska,INSERT INTO `states` (name) VALUES ('NE');,NE,USA,state,10,current,occupied,,31,Neb.,VII,2,Midwest,4,West North Central,8
28,Nevada,INSERT INTO `states` (name) VALUES ('NV');,NV,USA,state,10,current,occupied,,32,Nev.,IX,4,West,8,Mountain,9
29,New Hampshire,INSERT INTO `states` (name) VALUES ('NH');,NH,USA,state,10,current,occupied,,33,N.H.,I,1,Northeast,1,New England,1
30,New Jersey,INSERT INTO `states` (name) VALUES ('NJ');,NJ,USA,state,10,current,occupied,,34,N.J.,II,1,Northeast,2,Mid-Atlantic,3
31,New Mexico,INSERT INTO `states` (name) VALUES ('NM');,NM,USA,state,10,current,occupied,,35,N.M.,VI,4,West,8,Mountain,10
